"data","hour","type","site","value"
20140513,8,"SO2","南京-草场门","30"
20140513,8,"SO2_24h","南京-草场门","20"
20140513,8,"NO2","南京-草场门","80"
20140513,8,"NO2_24h","南京-草场门","60"
20140513,8,"O3","南京-草场门","53"
20140513,8,"O3_24h","南京-草场门","183"
20140513,8,"O3_8h","南京-草场门","34"
20140513,8,"O3_8h_24h","南京-草场门","158"
20140513,8,"CO","南京-草场门","1.345"
20140513,8,"CO_24h","南京-草场门","1.04"
20140513,9,"AQI","南京-草场门","121"
20140513,9,"PM2.5","南京-草场门","71"
20140513,9,"PM2.5_24h","南京-草场门","61"
20140513,9,"PM10","南京-草场门","192"
20140513,9,"PM10_24h","南京-草场门","184"
20140513,9,"SO2","南京-草场门","29"
20140513,9,"SO2_24h","南京-草场门","19"
20140513,9,"NO2","南京-草场门","73"
20140513,9,"NO2_24h","南京-草场门","61"
20140513,9,"O3","南京-草场门","88"
20140513,9,"O3_24h","南京-草场门","183"
20140513,9,"O3_8h","南京-草场门","41"
20140513,9,"O3_8h_24h","南京-草场门","158"
20140513,9,"CO","南京-草场门","1.173"
20140513,9,"CO_24h","南京-草场门","1.037"
20140513,10,"AQI","南京-草场门","122"
20140513,10,"PM2.5","南京-草场门","75"
20140513,10,"PM2.5_24h","南京-草场门","60"
20140513,10,"PM10","南京-草场门","194"
20140513,10,"PM10_24h","南京-草场门","182"
20140513,10,"SO2","南京-草场门","26"
20140513,10,"SO2_24h","南京-草场门","18"
20140513,10,"NO2","南京-草场门","52"
20140513,10,"NO2_24h","南京-草场门","62"
20140513,10,"O3","南京-草场门","142"
20140513,10,"O3_24h","南京-草场门","183"
20140513,10,"O3_8h","南京-草场门","58"
20140513,10,"O3_8h_24h","南京-草场门","158"
20140513,10,"CO","南京-草场门","1.029"
20140513,10,"CO_24h","南京-草场门","1.037"
20140513,11,"AQI","南京-草场门","112"
20140513,11,"PM2.5","南京-草场门","84"
20140513,11,"PM2.5_24h","南京-草场门","61"
20140513,11,"PM10","南京-草场门",NA
20140513,11,"PM10_24h","南京-草场门","180"
20140513,11,"SO2","南京-草场门","26"
20140513,11,"SO2_24h","南京-草场门","18"
20140513,11,"NO2","南京-草场门","41"
20140513,11,"NO2_24h","南京-草场门","61"
20140513,11,"O3","南京-草场门","183"
20140513,11,"O3_24h","南京-草场门","183"
20140513,11,"O3_8h","南京-草场门","75"
20140513,11,"O3_8h_24h","南京-草场门","158"
20140513,11,"CO","南京-草场门","1.054"
20140513,11,"CO_24h","南京-草场门","1.042"
20140513,12,"AQI","南京-草场门","118"
20140513,12,"PM2.5","南京-草场门","89"
20140513,12,"PM2.5_24h","南京-草场门","62"
20140513,12,"PM10","南京-草场门",NA
20140513,12,"PM10_24h","南京-草场门","182"
20140513,12,"SO2","南京-草场门","26"
20140513,12,"SO2_24h","南京-草场门","18"
20140513,12,"NO2","南京-草场门","30"
20140513,12,"NO2_24h","南京-草场门","61"
20140513,12,"O3","南京-草场门","233"
20140513,12,"O3_24h","南京-草场门","233"
20140513,12,"O3_8h","南京-草场门","98"
20140513,12,"O3_8h_24h","南京-草场门","158"
20140513,12,"CO","南京-草场门","0.994"
20140513,12,"CO_24h","南京-草场门","1.047"
20140513,13,"AQI","南京-草场门","145"
20140513,13,"PM2.5","南京-草场门","77"
20140513,13,"PM2.5_24h","南京-草场门","63"
20140513,13,"PM10","南京-草场门","167"
20140513,13,"PM10_24h","南京-草场门","184"
20140513,13,"SO2","南京-草场门","27"
20140513,13,"SO2_24h","南京-草场门","19"
20140513,13,"NO2","南京-草场门","25"
20140513,13,"NO2_24h","南京-草场门","62"
20140513,13,"O3","南京-草场门","289"
20140513,13,"O3_24h","南京-草场门","289"
20140513,13,"O3_8h","南京-草场门","130"
20140513,13,"O3_8h_24h","南京-草场门","158"
20140513,13,"CO","南京-草场门","1.014"
20140513,13,"CO_24h","南京-草场门","1.056"
20140513,14,"AQI","南京-草场门","138"
20140513,14,"PM2.5","南京-草场门","70"
20140513,14,"PM2.5_24h","南京-草场门","64"
20140513,14,"PM10","南京-草场门","165"
20140513,14,"PM10_24h","南京-草场门","186"
20140513,14,"SO2","南京-草场门","23"
20140513,14,"SO2_24h","南京-草场门","19"
20140513,14,"NO2","南京-草场门","32"
